TransactionID,ProductID,CustomerID,SaleDate,Quantity,UnitPrice,Region,SalesChannel
1,P019,C108,2020-01-01,10,100.5,Asia,Partner
2,P006,C113,2020-01-01,50,250.0,Europe,Retail Store
3,P013,C117,2020-01-01,85,50.25,Asia,Retail Store
4,P003,C111,2020-01-03,76,50.25,Asia,Online
5,P016,C115,2020-01-03,12,50.25,Europe,Online
6,P003,C116,2020-01-03,96,50.25,Asia,Online
7,P018,C111,2020-01-04,15,250.0,Europe,Online
8,P007,C105,2020-01-04,6,100.5,North America,Retail Store
9,P004,C119,2020-01-04,40,250.0,Asia,Partner
10,P019,C109,2020-01-05,14,100.5,Asia,Retail Store
11,P016,C118,2020-01-05,80,50.25,North America,Online
12,P005,C116,2020-01-05,17,100.5,Asia,Partner
13,P019,C120,2020-01-06,80,100.5,North America,Retail Store
14,P014,C105,2020-01-06,40,250.0,Europe,Online
15,P014,C109,2020-01-06,1,250.0,Europe,Online
16,P016,C103,2020-01-07,15,50.25,North America,Partner
17,P017,C115,2020-01-07,72,250.0,North America,Online
18,P011,C106,2020-01-07,33,250.0,Europe,Online
19,P016,C115,2020-01-07,27,50.25,Europe,Partner
20,P019,C118,2020-01-08,96,100.5,Europe,Online
21,P002,C104,2020-01-08,52,250.0,Asia,Retail Store
22,P019,C120,2020-01-08,79,100.5,Asia,Online
23,P002,C111,2020-01-08,38,250.0,Europe,Retail Store
24,P014,C112,2020-01-09,65,250.0,Asia,Retail Store
25,P002,C108,2020-01-09,5,250.0,Europe,Online
26,P005,C107,2020-01-09,54,100.5,Europe,Retail Store
27,P017,C107,2020-01-11,31,250.0,Asia,Retail Store
28,P002,C117,2020-01-11,24,250.0,North America,Partner
29,P018,C101,2020-01-12,97,250.0,North America,Online
30,P010,C108,2020-01-12,56,100.5,North America,Partner
31,P004,C118,2020-01-12,76,250.0,Europe,Online
32,P020,C120,2020-01-15,100,50.25,North America,Retail Store
33,P016,C101,2020-01-15,47,50.25,Europe,Online
34,P018,C101,2020-01-15,10,250.0,Asia,Online
35,P004,C115,2020-01-16,83,250.0,North America,Retail Store
36,P015,C118,2020-01-16,49,100.5,North America,Partner
37,P010,C118,2020-01-17,25,100.5,Europe,Partner
38,P003,C114,2020-01-18,60,50.25,North America,Online
39,P005,C109,2020-01-19,10,100.5,North America,Online
40,P002,C105,2020-01-20,73,250.0,Europe,Online
41,P003,C105,2020-01-20,30,50.25,Europe,Partner
42,P011,C104,2020-01-21,43,250.0,Europe,Partner
43,P004,C115,2020-01-22,89,250.0,Europe,Online
44,P016,C118,2020-01-22,34,50.25,Asia,Partner
45,P019,C102,2020-01-23,61,100.5,Asia,Partner
46,P008,C106,2020-01-23,53,50.25,North America,Online
47,P006,C106,2020-01-23,11,250.0,Asia,Retail Store
48,P008,C112,2020-01-23,39,50.25,North America,Partner
49,P009,C117,2020-01-23,65,250.0,North America,Partner
50,P015,C109,2020-01-24,75,100.5,Europe,Partner
